,,Visa Free:,38,58,50,65,151,50,65,0,84,141,74,67,67,160,184,79,12,90,75,61,94,70,174,99,59,86,59,87,66,71,66,125,76,129,134,70,50,50,48,167,76,65,54,52,63,136,74,61,61,66,55,54,50,64,126,68,125,67,66,147,168,193,83,49,78,69,57,64,81,58,109,63,48,137,62,61,64,73,173,192,82,66,68,52,10,69,61,176,81,66,164,85,86,71,70,118,70,57,76,56,102,132,163,178,77,65,45,45,0,166,0,137,193,80,0,184,69,69,70,0,86,52,154,42,68,64,54,154,44,77,51,49,166,139,173,101,65,71,85,170,86,57,148,69,78,61,73,80,135,67,63,153,55,75,71,56,68,53,71,76,58,166,73,69,165,107,72,56,67,78,70,165,66,51,63,56,133,76,120,79,72,73,154,180,71,72,65,142,93,56,84,140,68,66,53,66,89,64,164,147,150,79,47,110,78,186,56,59,93,89,29,61,86,51,76,64,70,181,169,50,10,83,78,85,62,58,67,73,93,64,103,55,71,83,72,79,68,170,171,129,65,65,95,140,125,57,62,70,73,59,0,69,62,25
Antigua and Barbuda,Nationals of the following countries can enter without a visa.AlbaniaArgentinaArmenia (Republic of)AustraliaAustriaAzerbaijan (Republic of)BahamasBarbadosBelarus (Republic of)BelgiumBelizeBotswanaBrazilBrunei DarussalamBulgariaCanadaChileCyprusDenmarkDominicaEstonia (Republic of)FijiFinlandFranceGeorgia (Republic of)GermanyGreeceGrenadaGuyanaHungaryIreland (Republic of)ItalyJamaicaJapanKazakhstan (Republic of)KenyaKiribatiKorea (South)Kyrgyzstan (Republic of)LesothoLiechtensteinLithuania (Republic of)LuxembourgMalawiMalaysiaMaldivesMaltaMaltaMauritiusMexicoMoldova (Republic of)MonacoNamibiaNauru (special member)NetherlandsNew ZealandNorway and ColoniesPapua New GuineaPeruPolandPortugalRomaniaRussian FederationSamoa (Western)SeychellesSingaporeSloveniaSolomon IslandsSouth AfricaSouth KoreaSpainSt Kitts and NevisSt LuciaSt Vincent and the GrenadinesSurinameSwazilandSwedenSwitzerlandTajikistan (Republic of)TanzaniaTongaTrinidad and TobagoTurkeyTurkmenistanTuvalu (special member)UgandaUkraineUnited KingdomUnited KingdomUnited Kingdom Overseas TerritoriesUzbekistan (Republic of)VanuatuVenezuelaZambiaZimbabwe,Antigua,,None,,,,,,,,None,None,,,None,None,None,,None,,,None,None,None,None,,,,,,None,,None,,None,None,,,,,None,,,,,,None,,,,,,,,,,,,,,None,,None,,,None,,,,,,,,,None,,,,None,None,None,,,,,,,None,None,,,None,,None,,,,,,None,,,,None,,,,,,,None,,,None,None,,None,,None,None,,None,,None,,,None,,,,None,,,None,None,None,,,,None,None,None,,None,,,,None,,None,,None,None,,,,,,,None,None,,None,,,None,,,,,,,None,,,,,,None,,None,,,None,None,,,,None,None,,None,,,,,,None,,None,,None,None,,None,,None,,,None,None,,,None,,None,,None,None,None,,,,None,None,,,,None,None,,None,None,,None,None,None,,None,,,,None,None,,None,,,,,,,None,,
Argentina,"Some nationalities can get 90 days on entry.Andorra, Australia, Austria, Barbados, Belgium, Bolivia, Brazil, Canada, Colombia, Costa Rica, Croatia, Czech Republic, Chile, Cyprus, Denmark, Dominican Republic, Ecuador, El Salvador, Germany, Great Britain and North Ireland, Finland, France, Greece, Guatemala, Haiti, Holly See, Honduras, Hungary, Ireland, Israel, Italy, Japan, Liechtenstein, Luxembourg, Malta, Mexico, Monaco, Nicaragua, Netherlands, Norway, New Zealand, Panama, Paraguay, Peru, Poland, Portugal, San Marino, St. Lucia, Singapore, Slovenia, South Africa, Spain, Sweden, Switzerland, Trinidad and Tobago, Turkey, United States of America, Uruguay, Venezuela and YugoslaviaGranada, Hong Kong (with BN passport), Jamaica and Malaysia, Permit to stay for 30 days.Everyone else needs to apply for a visa in advance.",Argentina,,,,,90 days,,,,,,,,,90 days,90 days,,,,,,90 days,,90 days,,,,,90 days,,,,90 days,,,,,,,,90 days,,,,,,90 days,,,,90 days,,,,,90 days,,90 days,,,90 days,90 days,90 days,,,,90 days,,,90 days,,90 days,,,,,,,,90 days,90 days,,,,,,,,90 days,,,90 days,,30 days,,,90 days,,,,90 days,90 days,30 days,90 days,,,,,,,90 days,,90 days,90 days,30 days,,90 days,,,,,,,,,,,,,,,,,90 days,,90 days,,90 days,,,30 days,,,90 days,,,,,,90 days,,,90 days,,,,,,,,,,90 days,,,90 days,90 days,,,,,,90 days,,,,,90 days,,90 days,90 days,,,90 days,90 days,,,,,,,,90 days,,,,90 days,,,90 days,,,,,,,,,,,90 days,,,,,,,,,90 days,,,,,,,,,,90 days,,90 days,,,,,,,90 days,90 days,90 days,,,,90 days,90 days,,,,,,,,,
Armenia,"Visa required by most nationalities except;AzerbaijanBelarusGeorgiaKazakhstanKyrgyzMoldovaMontenegroRussian FederationSerbiaTajikistanUkraineUzbekistan Visa for stay up to 21 days, requires 1 application form, 1 photo and $60 to $95 processing fee (fees vary according processing time). For stays longer than 21 days, but not exceeding 90 days, an official invitation from a qualifying entity in Armenia is required.",Armenia,,,,,,,,,,,,,,,,None,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,None,,,,,,None,,,,,,,,,,,,
,"Nationals of the countries listed below need a visa to enter Aruba:Afghanistan, Iran, Nigeria, Armenia, Iraq, Peoples Republic of China, Azerbaijan, Kazakhstan, Russian Federation, Belarus, Kirghistan Syria, Cambodia, Korea (North), Tajikistan Cuba Libya, Turkmenistan, Dominican Republic, Mauretania, Ukraine, Georgia, Moldova, Uzbekistan, Ghana, Mongolia, Vietnam, Haiti, and Myanmar.Applications for a visa can be done through the Aruba Tourism office.Applications can take from two to four weeks.Nationals from the following countries are allowed to stay in Aruba for maximum stay up to three months without visa.Australia, Canada, Chile, Commonwealth of Bahamas, Czech Republic, Hungary, Iceland, Israel, Japan, Lichtenstein, New Zealand, Norway, Poland, Slovenia, Slovak Republic, Switzerland, U.S.A. Nationals of E.U. countries.",Aruba,,,,,,,,,,,,,,3 months,3 months,,,3 months,,,,,3 months,,,,,,,,,,,,3 months,,,,,3 months,,,,,,3 months,,,,,,,,,,,,,,3 months,3 months,3 months,,,,,,,,,,,,3 months,,,,,3 months,3 months,,,,,,,,3 months,,,3 months,,,,,,,,,,,,3 months,3 months,,,,,,3 months,,3 months,3 months,,,3 months,,,,,,,,,,,,3 months,,,,,3 months,3 months,3 months,,,,,,,,3 months,,,,,,,,,,,,,,,,,,,3 months,,,3 months,,,,,,,3 months,,,,,,,,,,,3 months,3 months,,,,3 months,,,,,,,,,,,,3 months,3 months,,,,,3 months,,,,,,,,,,,,3 months,3 months,,,,,,,,,,,,3 months,,,,,,,3 months,3 months,,,,,,,,,,,,,,,
,http://www.ascension-island.gov.ac/,Ascension,,,,,,,,,,,,,Government employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government employees on duty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government employees on duty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government employees on duty,US base business-only for armed forces and base employees and contractors,,,,,,,,,,,,,,,
Australia,http://www.immi.gov.au/visitors/tourist/index.htm,Australia,,,,,eVisitor 3 Months Free,,,,,,,,,,eVisitor 3 Months Free,,,,,,,,eVisitor 3 Months Free,,,,,,,,,,,ETA 3 months $20 Online,eVisitor 3 Months Free,,,,,ETA 3 months $20 Online,,,,,,,,,,,,,,,,,,,,eVisitor 3 Months Free,eVisitor 3 Months Free,eVisitor 3 Months Free,,,,,,,,,,,,eVisitor 3 Months Free,,,,,eVisitor 3 Months Free,eVisitor 3 Months Free,,,,,,,,eVisitor 3 Months Free,,,eVisitor 3 Months Free,,,,,,,,,,,British: ETA 3 months $20 Online,eVisitor 3 Months Free,eVisitor 3 Months Free,,,,,,eVisitor 3 Months Free,,,eVisitor 3 Months Free,,,ETA 3 months $20 Online,,,,,,,ETA 3 months $20 Online,,,,,eVisitor 3 Months Free,,,,,eVisitor 3 Months Free,eVisitor 3 Months Free,eVisitor 3 Months Free,,,,,ETA 3 months $20 Online,,,eVisitor 3 Months Free,,,,,,,,,eVisitor 3 Months Free,,,,,,,,,,eVisitor 3 Months Free,,,,,,,,,,eVisitor 3 Months Free,,,,,,,,,,,eVisitor 3 Months Free,eVisitor 3 Months Free,,,,eVisitor 3 Months Free,,,,eVisitor 3 Months Free,,,,,,,ETA 3 months $20 Online,eVisitor 3 Months Free,eVisitor 3 Months Free,,,,,eVisitor 3 Months Free,,,,,,,,,,,,eVisitor 3 Months Free,eVisitor 3 Months Free,,,British: ETA 3 months $20 through travel agent or visa office outside Australia,,,,,,,,,,,,,,,,eVisitor 3 Months Free,ETA 3 months $20 Online,,,,,eVisitor 3 Months Free,,,,,,,,,,
Austria,,Austria,,,,,,,,,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,,,,,,,,,,,,None,,,,,None,None,,,,,,,,None,,,None,,,,,,,,,,,,None,None,,,,,,,,,None,,,,,,,,,,,,,,,None,,,,,,None,None,,,,,,,,None,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,None,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,None,None,,,,,None,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,"Visas are required by all, and you need an invitation.A 30 day visa can be had on arrival at Heydar Aliyev International airport in Baku for US$100 and one passport photo. No invitation required.",Azerbaijan,"$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days",,"$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days",,"$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days",,"$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days",,"$100 in Baku Airport, 30 days",,"$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days",,"$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days",,"$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days",,"$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days",,"$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days",,"$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days",,"$100 in Baku Airport, 30 days","$100 in Baku Airport, 30 days",
,http://wqsazores.net/home/footerFAQs.asp#14,Azores,,,,,ID Card,,,,,90 days,,,,90 days,ID Card,,,,,,,,ID Card,,,,,90 days,,,,90 days,,90 days,90 days,,,,,90 days,,,,,,90 days,,,,,,,,,90 days,,90 days,,,ID Card,ID Card,ID Card,,,,,,,,,90 days,,,ID Card,,,,,ID Card,ID Card,,,,,,,,ID Card,,,ID Card,,,,,90 days,,,,,90 days,90 days,ID Card,ID Card,,,,,,ID Card,,90 days,ID Card,,,90 days,,,,,,,90 days,,,,,ID Card,,,,,ID Card,ID Card,ID Card,90 days,,,,90 days,,,ID Card,,,,,,90 days,,,90 days,,,,,,,,,,ID Card,,,90 days,90 days,,,,,,ID Card,,,,,90 days,,90 days,,,,ID Card,ID Card,,,,ID Card,,,,90 days,,,,,,,90 days,ID Card,ID Card,,,,,ID Card,,,,,,,,,,,,ID Card,ID Card,,,,,,,,,,,,ID Card,,,,,,,ID Card,90 days,90 days,,,,90 days,90 days,,,,,,,,,
"Bahamas, The",http://www.thebahamasguide.com/travel/visa.htm,Bahamas,,,,,,,,,Indefinite,2 weeks,,Indefinite,,Indefinite,3 months,,Indefinite,,,Indefinite,Indefinite,,8 months,Indefinite,,Indefinite,,2 weeks,,Indefinite,,2 weeks,,,,,,,,"30 days with residency permit, 8 months with 5 years expired passport or birth certificate + photo ID or citizenship certificate, ticket, funds for citizens",,Indefinite,,,,3 months,,,,,,,,Indefinite,2 weeks,,,,Indefinite,Indefinite,,3 months,,,Indefinite,,,,2 weeks,,2 weeks,,,,,,,Indefinite,3 months,3 months,,3 months,,,Indefinite,3 months,,3 months,,Indefinite,8 months,8 months,Indefinite,Indefinite,,,,,Indefinite,,2 weeks,British: Indefinite,,8 months,,,,,,3 months,,3 months,8 months,Indefinite,,3 months,,,Indefinite,,Indefinite,,3 months,,,,,,,Indefinite,,,8 months,,8 months,Chinese: Indefinite,,,Indefinite,Indefinite,Indefinite,Indefinite,Indefinite,,3 months,,,,3 months,,,Indefinite,,,,,,,Indefinite,Indefinite,,8 months,Indefinite,,Indefinite,2 weeks,,,,3 months,,8 months,,,,,2 weeks,Indefinite,2 weeks,2 weeks,,,,3 months,,,Indefinite,,,,2 weeks,8 months,,,,,Indefinite,Indefinite,Indefinite,,,Indefinite,,Indefinite,,3 months,Indefinite,,Indefinite,Indefinite,,,Indefinite,,Indefinite,,Indefinite,3 months,8 months,,,,,Indefinite,,,,Indefinite,Indefinite,,8 months,,Indefinite,Indefinite,Indefinite,,,8 months,"30 days with Green Card for residents, 8 months with 5 years expired passport or birth certificate + photo ID or citizenship certificate, ticket, funds for citizens",3 months,,,Indefinite,Indefinite,2 weeks,,,,,,,2 weeks,,
Bahrain,"Citizens of Gulf Cooperation Council nationals (GCC -- Kuwait, Saudi Arabia, Qatar, the United Arab Emirates and the Sultanate of Oman) do not need visas to enter Bahrain.Tourist visas can be obtained at the Bahrain International Airport or at the King Fahad Causeway for :Citizens of the European Community, USA, Canada, Australia, New Zealand, Japan or Hong Kong.Visitors who have been resident in the GCC for a minimum of six months, and who possess a return visa for the country of GCC residency.Citizens from the following 35 countries ( Germany, France, Belgium, Luxembourg, Netherlands, Britain, Ireland, Spain, Italy, Sweden, Finland, Austria, Denmark, Switzerland, Japan, Norway, Australia, New Zealand, Canada, Hong Kong, United States of America, Portugal, Malaysia, Iceland, Liechtenstein, Greece, Monaco, San Marino, Singapore, Brunei, Vatican City and Andorra), China and Thailand) can obtain a visa valid for two weeks issued from access points inside the country without pre-arrangement or local sponsor's request. This visa may be extended for another two weeks.Israeli stamps in your passport mean you will not be admitted to Bahrain.",Bahrain,,,,,2 weeks,,,,,,,,,2 weeks,2 weeks,,,,,,,,2 weeks,,,,,,,,,,,2 weeks,,,,,,2 weeks,,,,,,,2 weeks,,,,,,,,,,,,,2 weeks,2 weeks,2 weeks,,,,,,,,,,,,2 weeks,,,,,2 weeks,2 weeks,,,,,,,,2 weeks,,,2 weeks,,,,,,,,,,,2 weeks,2 weeks,2 weeks,,,,,,2 weeks,,,2 weeks,,,2 weeks,,,,,,,,,None,,,2 weeks,,,,,2 weeks,2 weeks,2 weeks,,,,,2 weeks,,,2 weeks,,,,,,,,,2 weeks,,,,,,,,,,2 weeks,,,2 weeks,,,,,,,2 weeks,None,,,,,,,,,,2 weeks,2 weeks,,None,,,,,,2 weeks,,None,,,,,2 weeks,2 weeks,2 weeks,,,,,2 weeks,,,,,,,,,,,,2 weeks,2 weeks,,,,,,2 weeks,,,,,,,,,,,,None,2 weeks,2 weeks,,,,,2 weeks,,,,,,,,,,
Bangladesh,"VISAS: Required by all except the following: Nationals of Antigua & Barbuda, Bahamas, Bhutan, Dominica, Fiji, Gambia, Grenada, Guinea-Bissau, Jamaica, Guyana, Honduras, Lesotho, Malawi, Maldives, Montserrat, Papua New Guinea, St Kitts & Nevis, St Lucia, St Vincent & the Grenadines, Seychelles, Solomon Islands, Uruguay, Vatican City and Zambia for stays of up to 90 days;Transit passengers continuing their journey the same for first connecting aircraft provided holding valid onward or return documentation and not leaving the airport; Tourist and business travellers arriving at Zia, Dhaka and Patenga international airports provided holding return air tickets may be granted \""landing permission\"" by the Chief Immigration Officer for stays of up to 15 days for a fee of $20. Note: Bangladeshi nationals holding dual citizens need not have a visa provided their passport is stamped with \""No Visa Required\"".   Visas are available on arrival for some nationalities who have no Bangladesh embassy in their home country. This is subject to change at any time. Types of visa and cost: Enrty, Visit, Tourist and Business. The visa fee for US Citizens is $50 to $100. Please inquire at any Bangladesh Mission for visa fee for nationals of other countries he following nationals can get their visas free of charge: Bhutan, Bolivia, Botswana, Gabon, Guinea, India, Iran, Japan, Namibia, Paraguay, Sri Lanka, Sweden, Tanzania, Tonga and Trinidad & Tobago. Validity: Single-entry: 6 months from date of issue for stays of up to 90 days. Double-entry: months from date of issue. Multiple-entry: 6-12 months from date of issue. Stays are for a maximum of 90 days each.",Bangladesh,,,,,,,,,90 days,,,,,,,,,90 days,,,,,,,,,90 days,Free visa,,Free visa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90 days,,,,,,,,,,,,,90 days,,,,,,Free visa,,90 days,,,,,,,90 days,,,,Free visa,90 days,90 days,,90 days,,,,Free visa,,Free visa,,,,,,,90 days,,Free visa,,,,,,,,,,,,,,90 days,,,,,,,,,90 days,,90 days,,,,,,,,,,,,,,90 days,,,,Free visa,,,,,,,,,,,,,,,,,,,90 days,Free visa,,,,,,,,,,,,,,,,,,90 days,,,,,90 days,,,,,Free visa,,90 days,90 days,,,90 days,,,,,Free visa,,,,,,Free visa,,,,Free visa,Free visa,,,,,,,,,,,90 days,,,,90 days,,,,,,,,90 days,,
Barbados,Nationals of the following countries require visas. If your country is not listed you do not need a visa.AfghanistanAlgeriaAndorraAngolaBahrainBeninBhutanBoliviaBosnia - HerzegovinaBurkina FasoBurundiCambodiaCameroonCape VerdeCentral African RepublicChadChinaComorosIvory Coast (Cote d?Ivoire)JordanKampucheaKuwaitPeople?s Republic of LaosLebanonLiberiaLibyaMadagascarMonacoMongoliaMoroccoMacauMozambiqueMyanmar (formerly Burma)NamibiaNepalNigerOmanPakistanParaguayCongoDjiboutiDominican RepublicEcuadorEgyptEl SalvadorEquatorial GuineaEthiopiaGabonGuatemalaGuineaGuinea-BissauHaitiHondurasIndiaIndonesiaIranIraqQatarRwandaSan MarinoSao Tome & PrincipeSaudi ArabiaSenegalSomaliaThe SudanSyriaTaiwanThailandTogoUnited Arab EmiratesVatican City (Holy See)VietnamPeople?s Democratic Republic of YemenYemen Arab RepublicYugoslaviaZaire,Barbados,,None,,None,,,None,,None,None,None,None,None,None,None,None,,None,,None,None,None,None,None,,None,,,,None,None,None,None,None,None,,,,,None,,None,,,None,None,,None,None,None,,,,None,None,,None,None,None,None,None,None,None,,None,,None,None,,,,,None,None,,None,None,None,None,None,None,None,None,,,None,None,None,None,None,None,None,None,None,None,,,,None,,,None,None,None,,,,,,None,,None,None,None,,None,,None,None,,None,None,None,,,None,,None,,None,,,None,None,None,,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,,,None,None,,,,,None,,None,None,None,None,None,,None,None,None,None,None,,,None,None,None,None,,None,None,None,None,None,None,,None,None,None,,None,,,,,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,,None,None,,None,None,None,None,None,,,,None,None,,,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,,None,,None,None,None,,,None,None,
Byelarus,The following countries do not need a visa.ArmeniaCubaGeorgiaKazakhstanKorea (Democratic People's Republic)KyrgyzstanMacedoniaMoldovaMongoliaPolandRussian FederationTajikistanUkraineUzbekistanVietnamYugoslaviaEveryone else has to get a visa. You can get a visa on arrival at Minsk airport but you need an invitation.,Belarus,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,None,,,,None,,,,,,,,,,,None,,,,,,,,,,,,,,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,None,,,,,,None,,,,None,,,,,,,,
